"","species","covariate","depth_effect","low","low_se","hi","hi_se","range","range_se","peak","peak_se","reduction","reduction_se"
"113","","temp",FALSE,-4.7248893376769,1.8404976434232,1.49805381089165,0.48948098743694,6.22294314856855,1.73475616135973,2.99573227355399,0,0.896707610421913,0.0575891840771113
"114","prickleback unid.","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Bering skate","temp",FALSE,-6.9917371927635,1.54408611827943,1.9661473339297,0.32807399338765,8.9578845266932,1.36449133093885,2.99573227355399,0,0.950151846941359,0.0151860347181629
"116","Alaska skate","temp",FALSE,-4.61476936420806,1.19980241608378,2.19613391951995,0.402596053320444,6.810903283728,1.34434409986131,2.99573227355399,0,0.913771552915692,0.0340397445827604
"117","spotted ratfish","temp",FALSE,0.979323939147322,0.678282299298458,10.7915387575216,2.06220691733341,9.81221481837432,1.45725394241259,2.99573227355399,0,0.958454317667463,0.012340253549268
"118","Aleutian skate","temp",FALSE,-3.96373577713316,0.462026910102213,1.94457735099416,0.184341126415369,5.90831312812732,0.556624744370549,2.99573227355399,0,0.885413624225322,0.0215904643984716
"119","arrowtooth flounder","temp",FALSE,-4.52155415956281,0.185024677373038,2.83056817719773,0.0704925860878857,7.35212233676054,0.195375418476586,2.99573227355399,0,0.925999519204951,0.00393297995886492
"120","Pacific halibut","temp",FALSE,-2.55658747505008,0.133262538399693,8.10368012344256,0.43413916446928,10.6602675984926,0.486649577396426,2.99573227355399,0,0.964801530654328,0.00321367546805187
"121","petrale sole","temp",FALSE,-0.133028570523263,0.176314284379735,5.00871461014277,0.42627394623113,5.14174318066603,0.410207018406476,2.99573227355399,0,0.848699894854201,0.0241413710625682
"122","Dover sole","temp",FALSE,-9.43218988011679,1.23803792375708,0.58246404223104,0.416510963437927,10.0146539223478,0.847897035046252,2.99573227355399,0,0.960116974196413,0.00675344342195829
"123","rex sole","temp",FALSE,-5.69237040831339,0.384860682150445,2.65300223432152,0.110746821151233,8.34537264263491,0.373636627582983,2.99573227355399,0,0.942566071435822,0.005142830715055
"124","starry flounder","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","flathead sole","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","yellowfin sole","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","English sole","temp",FALSE,-0.559114109388677,0.236707505359421,7.6685051559947,0.768828896532182,8.22761926538337,0.723590280681416,2.99573227355399,0,0.940910322666277,0.0103934600832045
"128","Alaska plaice","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Pacific herring","temp",FALSE,-0.435638593104387,0.25336620256119,6.38481195210197,0.590544226695247,6.82045054520636,0.640210779391877,2.99573227355399,0,0.914012788985509,0.016142610819167
"130","sablefish","temp",FALSE,-26.1237211102707,13.9398023658184,-7.82883451323022,8.10564401217446,18.2948865970405,5.8476362605468,2.99573227355399,0,0.988049101780657,0.00763978562018987
"131","Pacific grenadier","temp",FALSE,-9.41100934355048,11.7610708084929,-5.74818975505078,8.71288769318679,3.66281958849969,3.05272939532875,2.995732273554,0,0.701854035688419,0.496971760340182
"132","giant grenadier","temp",FALSE,-1.99603995812916,0.0456478712507944,-0.341153806777155,0.0243414834190066,1.654886151352,0.0485928383169417,2.99573227355399,0,-0.46057461417187,0.0857744395507807
"133","butter sole","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Pacific tomcod","temp",FALSE,1.02201479050673,0.264655493694807,7.96517071059418,0.797456299938266,6.94315592008745,0.660644480838546,2.99573227355399,0,0.917025211326214,0.0157901786498816
"135","walleye pollock","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","lingcod","temp",FALSE,-0.360043698728204,0.0999090593471905,5.56867145848668,0.288270608599709,5.92871515721488,0.282503883800859,2.99573227355399,0,0.886200901763154,0.0108450773472636
"137","magistrate armhook squid","temp",FALSE,-4.7055616581563,0.421233312577028,0.933286322292697,0.114645778013466,5.638847980449,0.377336527089597,2.99573227355399,0,0.874200412105738,0.0168363395395325
"138","Atka mackerel","temp",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Pacific cod","temp",FALSE,-4.04126359455506,0.317406356890223,6.40325405262702,0.409920601134238,10.4445176471821,0.650189415354757,2.99573227355399,0,0.963332338347329,0.00456525160811207
"140","Pacific hake","temp",FALSE,-2.75391939984419,0.374949027340253,0.588544701798939,0.122285758128516,3.34246410164313,0.335316785800005,2.99573227355399,0,0.641964171796554,0.0718364771998024
"141","chinook salmon","temp",FALSE,-0.0856442173486843,0.153035473710494,6.23243070575449,0.466673899078381,6.31807492310317,0.44021579016085,2.99573227355399,0,0.899794756448525,0.0139637250286381
"142","prowfish","temp",FALSE,-3.99550154280266,1.00032808774875,4.44108133477351,1.11030487260228,8.43658287757617,1.89247627801204,2.99573227355399,0,0.943801226573943,0.0252127779944817
"143","chum salmon","temp",FALSE,-2.76430494728904,0.479105741827841,5.43180736837145,0.654872487705329,8.19611231566049,1.01698368793344,2.99573227355399,0,0.940455152263305,0.0147767957579091
"144","rock sole unid.","temp",FALSE,0.272057627123025,0.15760938045195,5.70834583281455,0.471376902578423,5.43628820569153,0.392711823110658,2.99573227355399,0,0.864651001812016,0.0195549425723808
"145","dusky and dark rockfishes unid.","temp",FALSE,-2.28888493119033,0.946288003039801,5.62962919178584,1.34898221733161,7.91851412297617,2.03492000714137,2.99573227355399,0,0.93620706260264,0.0327873443447027
"146","rougheye rockfish","temp",FALSE,-3.62958008333827,0.320834342479438,0.574241562659699,0.103954797773077,4.20382164599797,0.287064590663583,2.99573227355399,0,0.773654728026714,0.030912687701442
"147","Pacific ocean perch","temp",FALSE,-1.70180327378138,0.0616246730125329,1.65274808765061,0.0518597498213855,3.35455136143199,0.0812403417759584,2.99573227355399,0,0.644539702637647,0.0172170361601941
"148","rosethorn rockfish","temp",FALSE,-0.727233062795715,0.073889023969759,1.78148786780344,0.252398276065849,2.50872093059915,0.244441989173989,2.99573227355399,0,0.364441860682088,0.123853629086983
"149","silvergray rockfish","temp",FALSE,-0.785354372482885,0.0679034604877866,1.95252553915701,0.103498325401484,2.7378799116399,0.126080131897668,2.99573227355399,0,0.466381103044118,0.049146597427634
"150","yelloweye rockfish","temp",FALSE,-1.39565973064356,0.168546712646677,2.69652794698611,0.341932438608444,4.09218767762967,0.404233861877686,2.99573227355399,0,0.761136987779718,0.0471906596158219
"151","redbanded rockfish","temp",FALSE,-2.07566637918561,0.143311767741903,1.98038056090422,0.0988908000058189,4.05604694008984,0.192109041634376,2.99573227355399,0,0.756861324494335,0.0230318527500129
"152","harlequin rockfish","temp",FALSE,-0.950012114174091,0.0953012136486518,2.14420400735816,0.196038656203668,3.09421612153225,0.202404051414675,2.99573227355399,0,0.582209363663721,0.0546584427953292
"153","shortraker rockfish","temp",FALSE,-1.61765869366456,0.0473631484581169,0.12066305825359,0.025752311201627,1.73832175191815,0.0554314592521104,2.99573227355399,0,-0.323730763929209,0.0844220327111939
"154","sand sole","temp",FALSE,3.67208443866383,1.90928461950483,12.4715807242627,3.82181353423815,8.79949628559885,1.969120240592,2.99573227355399,0,0.948341193678935,0.0231200509279395
"155","slender sole","temp",FALSE,-2.1829362234517,0.214061063570257,2.50448889522952,0.174859697234915,4.68742511868122,0.32577870279585,2.99573227355399,0,0.817949739212205,0.0253051926383754
"156","sharpchin rockfish","temp",FALSE,-0.655204865469505,0.0420387619220218,1.33474555079456,0.0856197248686478,1.98995041626407,0.0845317651856645,2.99573227355399,0,-0.0101258400171572,0.0858189426414044
"157","rougheye and blackspotted rockfish unid.","temp",FALSE,-3.6330517558622,0.318274337528143,0.562265533021075,0.096004590229027,4.19531728888328,0.271691239459885,2.99573227355399,0,0.772736145758981,0.029435484370532
"158","giant octopus","temp",FALSE,-4.27751444755413,1.24615825827778,6.1169022369867,1.69452808458438,10.3944166845408,2.71041763347768,2.99573227355399,0,0.96297801110289,0.0193074906612857
"159","blackspotted rockfish","temp",FALSE,-2.96369003990332,NA,0.727503808999063,NA,3.69119384890239,NA,2.99573227355399,NA,0.706420122849873,NA
"160","dusky rockfish","temp",FALSE,-2.00278482079846,0.160751366217688,2.54776564860539,0.186772379834449,4.55055046940385,0.271632662287179,2.99573227355399,0,0.806833362283794,0.0230611080662467
